Country,Year,Type,Total affected,Total damage ('000 US$),Total Death
Cambodia,2000,Flood,3448053,160000,347
Cambodia,2001,Drought,300000,0,0
Cambodia,2001,Flood,1669182,15000,56
Cambodia,2002,Drought,650000,38000,0
Cambodia,2002,Flood,1470000,100,29
Cambodia,2005,Drought,600000,0,0
Cambodia,2005,Flood,0,0,16
Cambodia,2007,Epidemic,0,0,182
Cambodia,2007,Flood,0,1000,0
Cambodia,2009,Storm,178091,0,17
Cambodia,2010,Flood,0,70000,0
Cambodia,2011,Flood,1640023,521000,247
Cambodia,2012,Flood,0,0,14
Cambodia,2013,Flood,1500000,500000,200
Cambodia,2014,Flood,530450,0,45
