Country,Year,Type,Total affected,Total damage ('000 US$),Total Death
Myanmar,2000,Flood,50000,0,0
Myanmar,2001,Flood,0,0,51
Myanmar,2004,Earthquake,0,500000,71
Myanmar,2004,Storm,0,688,236
Myanmar,2006,Storm,60106,0,34
Myanmar,2007,Flood,163664,0,0
Myanmar,2008,Storm,2420000,4000000,138366
Myanmar,2010,Landslide,145000,0,68
Myanmar,2010,Storm,260049,57000,45
Myanmar,2011,Earthquake,0,3600,74
Myanmar,2011,Flood,35734,1700,151
Myanmar,2012,Earthquake,0,1170,38
Myanmar,2013,Flood,85000,0,0
Myanmar,2013,Flood,73300,0,0
