Country,Year,Type,Total affected,Total damage ('000 US$),Total death
Philippines,2004,Storm,0,0,1619
Philippines,2006,Storm,3842406,0,1399
Philippines,2006,Landslide,0,0,1126
Philippines,2008,Storm,4785460,284694,644
Philippines,2009,Storm,9380254,822868,1013
Philippines,2010,Storm,0,275745,0
Philippines,2010,Epidemic,0,0,737
Philippines,2011,Storm,0,344173,1439
Philippines,2011,Flood,0,178881,0
Philippines,2012,Storm,6246664,898352,1901
Philippines,2012,Flood,4451725,0,0
Philippines,2013,Storm,16106870,10000000,7354
Philippines,2013,Flood,0,2190000,0
Philippines,2013,Earthquake,3222224,0,0
Philippines,2014,Storm,8935860,820576,0
