Country,Year,Type,Total affected,Total damage ('000 US$),Total death
Thailand,2000,Flood,2500000,0,89
Thailand,2000,Epidemic,0,0,0
Thailand,2001,Flood,0,0,187
Thailand,2002,Drought,5000000,0,0
Thailand,2002,Flood,3289420,0,154
Thailand,2004,Earthquake,0,1000000,8345
Thailand,2004,Flood,0,175000,0
Thailand,2005,Drought,0,420000,0
Thailand,2005,Flood,0,218000,0
Thailand,2006,Flood,2212413,0,280
Thailand,2008,Drought,10000000,0,0
Thailand,2010,Drought,6482602,332000,0
Thailand,2010,Flood,8970653,317000,258
Thailand,2011,Flood,9500000,40000000,877
Thailand,2013,Flood,3500000,579000,0
Thailand,2014,Extreme temperature ,1000000,0,0
