Country,Year,Type,Total affected,Total damage ('000 US$),Total death
Malaysia,2000,Flood,0,1000,12
Malaysia,2001,Flood,18000,0,11
Malaysia,2002,Landslide,0,0,10
Malaysia,2004,Earthquake,0,500000,80
Malaysia,2004,Flood,0,10000,13
Malaysia,2004,Storm,40000,0,0
Malaysia,2005,Flood,30000,0,0
Malaysia,2006,Flood,100000,22000,0
Malaysia,2007,Epidemic,0,0,56
Malaysia,2007,Flood,137533,605000,17
Malaysia,2007,Flood,29000,363000,29
Malaysia,2011,Flood,20000,0,0
Malaysia,2011,Landslide,0,0,16
Malaysia,2013,Flood,75000,0,0
Malaysia,2014,Drought,2200000,0,0
Malaysia,2014,Flood,230000,284000,17
