year,"disaster type","Country iso, Country name",occurrence,"Total deaths",Affected,Injured,Homeless,"Total affected","Total damage"
2000,Earthquake,IDN,Indonesia,5,149,208500,3108,58500,270108,73000
2000,Epidemic,IDN,Indonesia,2,25,1719,0,0,1719,0
2000,Epidemic,LAO,"Lao P Dem Rep",2,44,9685,0,0,9685,0
2000,Epidemic,MYS,Malaysia,2,4,988,0,0,988,0
2000,Epidemic,PHL,Philippines,1,1,664,0,0,664,0
2000,Epidemic,SGP,Singapore,1,2,2022,0,0,2022,0
2000,Epidemic,THA,Thailand,1,89,1946,0,0,1946,0
2000,Flood,KHM,Cambodia,1,347,3448000,53,0,3448053,160000
2000,Flood,IDN,Indonesia,3,264,475852,21,0,475873,113000
2000,Flood,LAO,"Lao P Dem Rep",1,15,450000,0,0,450000,1000
2000,Flood,MYS,Malaysia,1,12,8000,0,0,8000,1000
2000,Flood,PHL,Philippines,3,55,160393,0,5250,165643,4080
2000,Flood,THA,Thailand,4,107,3323231,570,0,3323801,109056
2000,Flood,VNM,"Viet Nam",2,496,5025000,7,0,5025007,265000
2000,"Industrial accident",THA,Thailand,1,1,200,194,0,394,0
2000,Landslide,IDN,Indonesia,4,126,54085,19,2645,56749,54600
2000,Landslide,PHL,Philippines,1,287,2800,38,0,2838,0
2000,Landslide,VNM,"Viet Nam",2,73,0,39,0,39,0
2000,"Mass movement (dry)",PHL,Philippines,1,11,0,0,0,0,0
2000,"Miscellaneous accident",IDN,Indonesia,1,10,0,30,0,30,0
2000,"Miscellaneous accident",THA,Thailand,1,0,0,0,800,800,3517
2000,Storm,MYS,Malaysia,1,0,500,0,0,500,0
2000,Storm,PHL,Philippines,6,394,6067076,355,120000,6187431,83464
2000,Storm,THA,Thailand,1,2,41219,0,0,41219,0
2000,Storm,VNM,"Viet Nam",7,23,2505,169,11860,14534,26035
2000,"Transport accident",IDN,Indonesia,10,674,0,150,0,150,0
2000,"Transport accident",LAO,"Lao P Dem Rep",2,28,0,5,0,5,0
2000,"Transport accident",MYS,Malaysia,2,68,0,0,0,0,0
2000,"Transport accident",PHL,Philippines,5,343,0,47,0,47,0
2000,"Transport accident",THA,Thailand,5,105,0,112,0,112,0
2000,"Transport accident",VNM,"Viet Nam",1,57,0,11,0,11,0
2000,"Volcanic activity",PHL,Philippines,1,0,68426,0,0,68426,2214
2000,Wildfire,IDN,Indonesia,1,0,0,0,0,0,0
2001,Drought,KHM,Cambodia,1,0,300000,0,0,300000,0
2001,Earthquake,IDN,Indonesia,2,0,12500,12,0,12512,0
2001,Flood,KHM,Cambodia,1,56,1669182,0,0,1669182,15000
2001,Flood,IDN,Indonesia,4,402,80000,4,5690,85694,10000
2001,Flood,LAO,"Lao P Dem Rep",1,0,453000,0,0,453000,0
2001,Flood,MYS,Malaysia,4,11,33200,0,0,33200,0
2001,Flood,MMR,Myanmar,1,51,0,0,3750,3750,0
2001,Flood,PHL,Philippines,3,43,91300,0,0,91300,8000
2001,Flood,THA,Thailand,6,222,465510,139,4730,470379,28500
2001,Flood,VNM,"Viet Nam",4,339,1608445,6,0,1608451,88700
2001,"Industrial accident",THA,Thailand,1,11,0,26,0,26,0
2001,Landslide,IDN,Indonesia,4,185,0,0,23910,23910,10000
2001,"Miscellaneous accident",KHM,Cambodia,1,0,0,0,20000,20000,0
2001,"Miscellaneous accident",PHL,Philippines,1,73,0,51,0,51,0
2001,"Miscellaneous accident",THA,Thailand,1,17,5000,90,0,5090,0
2001,"Miscellaneous accident",VNM,"Viet Nam",1,0,0,4,500,504,0
2001,Storm,PHL,Philippines,6,587,3349957,480,100000,3450437,99061
2001,Storm,THA,Thailand,1,0,150,0,0,150,0
2001,Storm,VNM,"Viet Nam",3,53,177450,89,23100,200639,83200
2001,"Transport accident",IDN,Indonesia,11,634,44,127,0,171,0
2001,"Transport accident",MYS,Malaysia,1,14,0,0,0,0,0
2001,"Transport accident",MMR,Myanmar,1,16,0,13,0,13,0
2001,"Transport accident",PHL,Philippines,2,35,0,0,0,0,0
2001,"Transport accident",THA,Thailand,2,32,0,27,0,27,0
2001,"Transport accident",VNM,"Viet Nam",5,70,0,22,0,22,0
2001,"Volcanic activity",PHL,Philippines,2,0,83221,0,0,83221,2580
2002,Drought,KHM,Cambodia,1,0,650000,0,0,650000,38000
2002,Drought,PHL,Philippines,1,0,0,0,0,0,453
2002,Drought,THA,Thailand,1,0,5000000,0,0,5000000,2300
2002,Drought,VNM,"Viet Nam",1,0,1300000,0,0,1300000,200000
2002,Earthquake,IDN,Indonesia,4,11,11105,740,0,11845,0
2002,Earthquake,PHL,Philippines,1,15,73351,100,0,73451,1714
2002,Epidemic,IDN,Indonesia,1,17,757,0,0,757,0
2002,Flood,KHM,Cambodia,1,29,1470000,0,0,1470000,100
2002,Flood,IDN,Indonesia,7,230,590820,750,0,591570,351600
2002,Flood,LAO,"Lao P Dem Rep",1,2,150000,0,0,150000,0
2002,Flood,MMR,Myanmar,1,21,50000,0,0,50000,0
2002,Flood,PHL,Philippines,4,90,155500,67,0,155567,1842
2002,Flood,THA,Thailand,2,154,3290858,62,0,3290920,35827
2002,Flood,VNM,"Viet Nam",3,147,1431700,116,0,1431816,84100
2002,"Industrial accident",IDN,Indonesia,1,10,0,15,0,15,0
2002,Landslide,IDN,Indonesia,1,32,0,5,0,5,0
2002,Landslide,MYS,Malaysia,1,10,0,0,0,0,0
2002,Landslide,THA,Thailand,1,35,0,0,33000,33000,0
2002,"Miscellaneous accident",IDN,Indonesia,3,65,0,33,500,533,0
2002,"Miscellaneous accident",VNM,"Viet Nam",1,60,0,100,0,100,2000
2002,Storm,MYS,Malaysia,1,2,155,0,0,155,0
2002,Storm,PHL,Philippines,6,215,979128,66,3000,982194,13534
2002,Storm,THA,Thailand,2,1,27000,100,3104,30204,2000
2002,Storm,VNM,"Viet Nam",1,0,1800,0,0,1800,100
2002,"Transport accident",IDN,Indonesia,6,161,0,20,0,20,0
2002,"Transport accident",PHL,Philippines,7,207,0,76,0,76,0
2002,"Transport accident",THA,Thailand,2,25,0,37,0,37,0
2002,"Volcanic activity",IDN,Indonesia,1,0,5000,0,0,5000,0
2002,Wildfire,IDN,Indonesia,1,0,0,200,0,200,0
2002,Wildfire,VNM,"Viet Nam",1,0,0,0,0,0,0
2003,Drought,IDN,Indonesia,1,0,15000,0,0,15000,1000
2003,Earthquake,IDN,Indonesia,3,1,3100,9,140,3249,0
